frame,angle_similarity_percentage,position_similarity_percentage,average_similarity
144,100.0,100.0,100.0
145,100.0,100.0,100.0
146,100.0,100.0,100.0
147,100.0,100.0,100.0
148,100.0,100.0,100.0
149,100.0,100.0,100.0
150,100.0,100.0,100.0
151,100.0,100.0,100.0
152,99.99999999999999,100.0,100.0
153,100.0,100.0,100.0
154,99.99999999999997,100.0,99.99999999999999
155,100.0,100.0,100.0
156,100.0,100.0,100.0
157,99.99999999999997,100.0,99.99999999999999
158,100.0,100.0,100.0
159,100.0,100.0,100.0
160,100.0,100.0,100.0
161,100.0,100.0,100.0
162,100.0,100.0,100.0
163,100.0,100.0,100.0
164,100.0,100.0,100.0
165,99.99999999999997,100.0,99.99999999999999
166,100.0,100.0,100.0
167,100.0,100.0,100.0
168,100.0,100.0,100.0
169,99.99999999999999,100.0,100.0
170,100.0,100.0,100.0
171,100.0,100.0,100.0
172,100.0,100.0,100.0
173,100.0,100.0,100.0
174,100.0,100.0,100.0
175,100.0,100.0,100.0
176,100.0,100.0,100.0
177,100.0,100.0,100.0
178,100.0,100.0,100.0
179,100.0,100.0,100.0
